bus,Total Capacity,Max Demand,Capacity/Demand
Poplar River,21.0,56.43758848761426,0.37209243985696944
Pasqua,21.0,56.43758848761426,0.37209243985696944
Swift Current,16.0,73.60363173101734,0.21738057788332518
Assiniboia,11.0,56.43758848761426,0.19490556373460302
Kennedy,16.0,142.1725960267688,0.11253926879823915
Boundary Dam,16.0,142.1725960267688,0.11253926879823915
Shand,16.0,142.1725960267688,0.11253926879823915
Lloydminster,11.0,162.41081444240518,0.0677294799472905
Brada,11.0,162.41081444240518,0.0677294799472905
Battleford,16.0,420.0913379495849,0.038086955275236256
Meadow Lake,11.0,413.75087400371234,0.02658604655878335
Codette,11.0,422.32752125524365,0.02604613586939765
Tantallon,16.0,698.5902831827848,0.022903267315863354
Rushlake Creek,11.0,490.21619106644965,0.022439079329611394
EB Campbell,11.0,496.1158740962991,0.022172239539879818
Beatty,16.0,827.3389981307389,0.01933911013036959
Regina,21.0,1176.3589568056357,0.017851693888594016
Condie,21.0,1288.6767154532163,0.016295786016909976
Peebles,21.0,1503.981239818409,0.013962940124529442
Queen Elizabeth,21.0,3005.1816267438517,0.006987930384345434
Coteau Creek,16.0,2805.0196221552724,0.005704059919447621
